concept,xpath,frequency
"methods_methodStep_citation_contact_address_country","/eml/dataset/methods/methodStep/citation/contact/address/country",1
"methods_methodStep_software_associatedParty_address_country","/eml/dataset/methods/methodStep/software/associatedParty/address/country",1
"dataTable_attributeList_attribute_measurementScale_dateTime_dateTimeDomain","/eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain",2554
"dataTable_attributeList_attribute_measurementScale_dateTime_dateTimeDomain_bounds","/eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds",1257
"dataTable_attributeList_attribute_measurementScale_dateTime_dateTimeDomain_bounds_minimum","/eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/minimum",1242
"dataTable_attributeList_attribute_measurementScale_dateTime_dateTimeDomain_bounds_maximum","/eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/maximum",895
"spatialVector_attributeList_attribute_measurementScale_dateTime_dateTimeDomain","/eml/dataset/spatialVector/attributeList/attribute/measurementScale/dateTime/dateTimeDomain",7
"spatialVector_attributeList_attribute_measurementScale_dateTime_dateTimeDomain_bounds_minimum","/eml/dataset/spatialVector/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/minimum",7
"spatialVector_attributeList_attribute_measurementScale_dateTime_dateTimeDomain_bounds_maximum","/eml/dataset/spatialVector/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/maximum",7
"spatialVector_attributeList_attribute_measurementScale_dateTime_dateTimeDomain_bounds","/eml/dataset/spatialVector/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds",7
"dataTable_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_codeDefinition_definition","/eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition",187831
"dataTable_attributeList_attribute_measurementScale_nominal_nonNumericDomain_textDomain_definition","/eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition",37586
"dataTable_attributeList_attribute_measurementScale_ordinal_nonNumericDomain_enumeratedDomain_codeDefinition_definition","/eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/enumeratedDomain/codeDefinition/definition",19044
"spatialVector_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_codeDefinition_definition","/eml/dataset/spatialVector/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition",4993
"spatialVector_attributeList_attribute_measurementScale_nominal_nonNumericDomain_textDomain_definition","/eml/dataset/spatialVector/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition",2882
"spatialRaster_attributeList_attribute_measurementScale_nominal_nonNumericDomain_enumeratedDomain_codeDefinition_definition","/eml/dataset/spatialRaster/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain/codeDefinition/definition",1204
